Finding,Assignee,Status,CSP,Severity,Tier,EnvType,EnvFriendlyName,EnvId,CreatedTime,FindingId,FindingIdShort,Region,ExecutionTeam,EstEffort,Tags
SSM.2 EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/SSM.2/finding/b1e94905-e3dc-468d-94d7-824cb6f48a9d,b1e94905-e3d,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
SSM.2 EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/SSM.2/finding/8c8f826e-94bc-4536-9174-8909ee066503,8c8f826e-94b,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
SSM.2 EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/SSM.2/finding/66c60c40-12f3-4cb3-be71-fff6f63e6b0f,66c60c40-12f,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
SSM.2 EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/SSM.2/finding/5f986c0a-ecf6-45f2-9d1f-85c6aab2b3d5,5f986c0a-ecf,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
SSM.2 EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/SSM.2/finding/1db4e2e4-2025-4000-86b6-ef422292eca7,1db4e2e4-202,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
SSM.2 EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/SSM.2/finding/0cb70e94-aab2-4369-86e3-cc012619d674,0cb70e94-aab,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
SSM.2 EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/SSM.2/finding/04f8c277-8df2-458f-8620-023d8d50dfc1,04f8c277-8df,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
SSM.2 EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/SSM.2/finding/522fceb4-e08e-4077-b5ca-e94c66b18c5d,522fceb4-e08,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
SSM.2 EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/SSM.2/finding/20779989-0ddd-4e12-a0b8-f79b354c3df0,20779989-0dd,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
SSM.2 EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/SSM.2/finding/0235f0d4-c189-42fe-bab2-4441e6a210e6,0235f0d4-c18,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
